"","track_name","album_name.y","track_number","lyrics_body","duration_ms"
"45","cowboy like me","evermore (deluxe version)",11,"And the tennis court was covered up With some tent-like thing And you asked me to dance But I said, ""Dancing is a dangerous game"" Oh, I thought This is gonna be one of those things Now I know I'm never gonna love again  I've got some tricks up my sleeve Takes one to know one You're a cowboy like me Never wanted love Just a fancy car Now I'm waiting by the phone Like I'm sitting in an airport bar You had some tricks up your sleeve Takes one to know one  You're a cowboy like me Perched in the dark Telling all the rich folks anything they wanna hear Like it could be love I could be the way forward ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",275040
"46","Cruel Summer","The Cruelest Summer",4,"(Yeah, yeah, yeah, yeah)  Fever dream high in the quiet of the night You know that I caught it (oh yeah, you're right, I want it) Bad, bad boy, shiny toy with a price You know that I bought it (oh yeah, you're right, I want it)  Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more  And it's new, the shape of your body It's blue, the feeling I've got, and it's ooh, whoa-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven but ooh, whoa-oh It's a cruel summer with you  Hang your head low in the glow of the vending machine I'm not dying (oh yeah, you're right, I want it) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",178425
"47","Cruel Summer - Live from TS | The Eras Tour","The Cruelest Summer",1,"Oh, hi!  Fever dream high in the quiet of the night You know that I caught it Bad, bad boy, shiny toy with a price You know that I bought it  Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more  And it's new, the shape of your body It's blue, the feeling I got And it's ooh, whoa-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa-oh It's a cruel summer with you  Hang your head low in the glow of the vending machine I'm not dying We say that we'll just screw it up in these trying times We're not trying  So cut the headlights, summer's a knife I'm always waiting for you just to cut to the bone ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",229566
"48","Dancing With Our Hands Tied","reputation",11,"I, I loved you in secret First sight, yeah, we love without reason Oh, 25 years old Oh, how were you to know? And my, my love had been frozen Deep blue, but you painted me golden Oh, and you held me close Oh, how was I to know?  I could've spent forever with your hands in my pockets Picture of your face in an invisible locket You said there was nothing in the world that could stop it I had a bad feeling  And darling, you had turned my bed into a sacred oasis People started talking, putting us through our paces I knew there was no one in the world who could take it I had a bad feeling  But we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing Like it was the first time, first time Yeah, we were dancing Dancing with our hands tied, hands tied ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",211506
"49","Daylight","Lover",18,"My love was as cruel as the cities I lived in Everyone looked worse in the light There are so many lines that I've crossed unforgiven I'll tell you the truth, but never goodbye  I don't wanna look at anything else now that I saw you I don't wanna think of anything else now that I thought of you I've been sleeping so long in a 20-year dark night And now I see daylight, I only see daylight  Luck of the draw only draws the unlucky And so I became the butt of the joke I wounded the good and I trusted the wicked Clearing the air, I breathed in the smoke Maybe you ran with the wolves and refused to settle down Maybe I've stormed out of every single room in this town Threw out our cloaks and our daggers because it's morning now It's brighter now, now  I don't wanna look at anything else now that I saw you (I can never look away) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",293453
"50","Dear John (Taylor's Version)","Speak Now (Taylor's Version)",5,"Long were the nights when my days once revolved around you  Counting my footsteps, praying the floor won't fall through again And my mother accused me of losing my mind But I swore I was fine  You paint me a blue sky and go back and turn it to rain And I lived in your chess game, but you changed the rules every day Wondering which version of you I might get on the phone tonight Well, I stopped picking up, and this song is to let you know why  Dear John, I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I should've known  Well, maybe it's me and my blind optimism to blame ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",405906
"51","Dear Reader","Midnights (The Til Dawn Edition)",20,"Dear reader If it feels like a trap, you're already in one Dear reader Get out your map, pick somewhere and just run Dear reader Burn all the files, desert all your past lives And if you don't recognize yourself That means you did it right  Never take advice from someone who's falling apart Never take advice from someone who's falling apart (You should find another)  Dear reader Bend when you can, snap when you have to Dear reader You don't have to answer, just 'cause they asked you (You should find another) Dear reader ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",225194
"52","Death By A Thousand Cuts","Lover",10,"(My, my, my, my) (My, my, my, my) (My, my, my, my) (My, my, my, my) (My, my, my, my) (My, my, my, my) (My, my, my, my) (My, my, my, my)  Saying goodbye is death by a thousand cuts Flashbacks waking me up I get drunk, but it's not enough 'Cause the morning comes and you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can't pretend it's ok when it's not It's death by a thousand cuts  I dress to kill my time I take the long way home I ask the traffic lights if it'll be all right They say, ""I don't know"" And what once was ours is no one's now ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",198533
"53","Delicate","reputation",5,"This ain't for the best My reputation's never been worse, so You must like me for me We can't make Any promises now, can we, babe? But you can make me a drink  Dive bar on the East Side, where you at? Phone lights up my nightstand in the black Come here, you can meet me in the back Dark jeans and your Nikes, look at you Oh damn, never seen that color blue Just think of the fun things we could do  ('Cause I like you) This ain't for the best My reputation's never been worse, so You must like me for me (Yeah, I want you) We can't make Any promises now, can we, babe? But you can make me a drink  Is it cool that I said all that? Is it chill that you're in my head? 'Cause I know that it's delicate (delicate) Is it cool that I said all that? Is it too soon to do this yet? 'Cause I know that it's delicate ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",232253
"54","Don’t Blame Me","reputation",4,"Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Lord, save me, my drug is my baby I'll be usin' for the rest of my life  I've been breakin' hearts a long time And, toyin' with them older guys Just playthings for me to use Something happened for the first time In the darkest little paradise Shakin', pacin', I just need you  For you, I would cross the line I would waste my time I would lose my mind They say, she's gone too far this time  Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Lord, save me, my drug is my baby I'll be usin' for the rest of my life  Don't blame me, love made me crazy If it doesn't, you ain't doin' it right Oh, Lord, save me, my drug is my baby I'll be usin' for the rest of my life ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",236413
"55","Don’t You (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",25,"Hey, I knew I'd run into you somewhere It's been a while, I didn't mean to stare I heard she's nothin' like me I'm sure she'll make you happy  But don't you Don't you smile at me and ask me how I've been Don't you say you've missed me if you don't want me again You don't know how much I feel, I love you still So why don't you, don't you?  Ah, ah, ah, ah Ah, ah, ah ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",208608
"56","dorothea","evermore (deluxe version)",8,"Hey, Dorothea, do you ever stop and think about me? When we were younger down in the park Honey, making a lark of the misery You got shiny friends since you left town A tiny screen's the only place I see you now And I got nothing but well wishes for ya  Ooh-ooh, this place is the same as it ever was Ooh-ooh, but you don't like it that way  It's never too late to come back to my side The stars in your eyes shined brighter in Tupelo And if you're ever tired of being known for who you know You know you'll always know me ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",225880
"57","Dress","reputation",12,"Our secret moments in a crowded room They got no idea about me and you There is an indentation in the shape of you Made your mark on me, a golden tattoo  All of this silence and patience Pining and anticipation My hands are shaking from holding back from you, ah, ah, ah All of this silence and patience Pining and desperately waiting My hands are shaking from all this, ah, ah, ah, ha-ah  Say my name and everything just stops I don't want you like a best friend Only bought this dress so you could take it off Take it oh, ha, ha, ha-ah Carve your name into my bedpost 'Cause I don't want you like a best friend Only bought this dress so you could take it off Take it oh, ha, ha, ha-ah  Inescapable I'm not even gonna try And if I get burned, at least we were electrified I'm spilling wine in the bath tub You kiss my face and we're both drunk ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",230373
"58","Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",17,"Just breathe, just relax, it'll be okay Just an hour 'til your car's in the driveway Just the first time ever hanging out with you Tonight  I've got my money on things goin' badly Got a history of stories ending sadly Still hoping that the fire won't burn me Just one time, just one time  All I know is this could either break my heart Or bring it back to life Got a feelin' your electric touch Could fill this ghost town up with life And I want you now, wanna need you forever In the heat of your electric touch, mm-mm  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",266466
"59","Enchanted (Taylor's Version)","Speak Now (Taylor's Version)",9,"There I was again tonight Forcing laughter, faking smiles Same old tired, lonely place Walls of insincerity Shifting eyes and vacancy Vanished when I saw your face All I can say is it was enchanting to meet you  Your eyes whispered, ""Have we met?"" Across the room, your silhouette Starts to make its way to me The playful conversation starts Counter all your quick remarks Like passing notes in secrecy  And it was enchanting to meet you All I can say is I was enchanted to meet you  This night is sparkling, don't you let it go I'm wonderstruck, blushing all the way home I'll spend forever wondering if you knew ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",353253
"60","End Game","reputation",2,"I wanna be your end game I wanna be your first string I wanna be your A-Team I wanna be your end game, end game  Big reputation, big reputation Oh, you and me, we got big reputations Ah, and you heard about me Ooh, I got some big enemies  Big reputation, big reputation Oh, you and me would be a big conversation Ah, and I heard about you Ooh, you like the bad ones too  You so dope, don't overdose I'm so stoked, I need a toast We do the most I'm in the Ghost like I'm whipping a boat I got a reputation, girl, that don't precede me (yeah) I'm one call away, whenever you need me (yeah)  I'm in a G5, come to the A-Side (yeah) I got a bad boy persona, it's what they like (what they like) You love it, I love it too 'cause you my type (you my type) You hold me down and I protect you with my life (my life)  I don't wanna touch you, I don't wanna be Just another ex-love you don't wanna see I don't wanna miss you (I don't wanna miss you) Like the other girls do  I don't wanna hurt you, I just wanna be Drinking on a beach with you all over me I know what they all say (I know what they all say) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",244826
"61","epiphany","folklore (deluxe version)",13,"Keep your helmet, keep your life, son Just a flesh wound, here's your rifle  Crawling up the beaches now ""Sir, I think he's bleeding out"" And some things you just can't speak about  With you, I serve With you, I fall down, down Watch you breathe in Watch you breathing out, out  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",289746
"62","evermore (feat. Bon Iver)","evermore (deluxe version)",15,"Gray November I've been down since July Motion capture Put me in a bad light  I replay my footsteps on each stepping stone Trying to find the one where I went wrong Writing letters Addressed to the fire  And I was catching my breath Staring out an open window Catching my death And I couldn't be sure I had a feeling so peculiar That this pain would be for Evermore  Hey, December Guess I'm feeling unmoored Can't remember What I used to fight for  I rewind thе tape, but all it does is pause On thе very moment all was lost ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",304106
"63","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Red (Taylor's Version)",14,"We good to go?  All I knew this morning when I woke Is I know something now, know something now I didn't before And all I've seen since 18 hours ago Is green eyes and freckles and your smile In the back of my mind making me feel like  I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just want to know you, know you, know you  'Cause all I know is we said, ""Hello"" And your eyes look like coming home All I know is a simple name Everything has changed All I know is you held the door You'll be mine and I'll be yours All I know since yesterday Is everything has changed  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",245426
"64","exile (feat. Bon Iver)","folklore (deluxe version)",4,"I can see you standing, honey With his arms around your body Laughin', but the joke's not funny at all  And it took you five whole minutes To pack us up and leave me with it Holdin' all this love out here in the hall  I think I've seen this film before And I didn't like the ending You're not my homeland anymore So what am I defending now? You were my town Now I'm in exile, seein' you out I think I've seen this film before  I can see you starin', honey Like he's just your understudy Like you'd get your knuckles bloody for me  Second, third, and hundredth chances Balancin' on breaking branches Those eyes add insult to injury  I think I've seen this film before ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",285640
"65","Eyes Open (Taylor's Version)","The More Red (Taylor’s Version) Chapter",5,"Everybody's waiting Everybody's watching Even when you're sleeping Keep your ey-eyes open  The tricky thing is yesterday we were just children Playing soldiers, just pretending Dreaming dreams with happy endings In backyards, winning battles with our wooden swords But now we've stepped into a cruel world Where everybody stands and keeps score Keep your eyes open  Everybody's waiting for you to break down Everybody's watching to see the fallout Even when you're sleeping, sleeping Keep your ey-eyes open Keep your ey-eyes open Keep your ey-eyes open  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",243264
"66","False God","Lover",13,"We were crazy to think Crazy to think that this could work Remember how I said I'd die for you?  We were stupid to jump In the ocean separating us Remember how I'd fly to you?  And I can't talk to you when you're like this Staring out the window like I'm not your favorite town I'm New York City I still do it for you, babe They all warned us about times like this They say the road gets hard and you get lost when you're led by blind faith Blind faith  But we might just get away with it Religion's in your lips Even if it's a false god ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",200306
"67","Fearless (Taylor’s Version)","Fearless (Taylor's Version)",1,"There's somethin' 'bout the way The street looks when it's just rained There's a glow off the pavement You walk me to the car And you know I wanna ask you to dance right there In the middle of the parking lot, yeah  Oh, yeah  We're drivin' down the road I wonder if you know I'm tryin' so hard not to get caught up now But you're just so cool Run your hands through your hair Absentmindedly makin' me want you  And I don't know how it gets better than this ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",241591
"68","Fifteen (Taylor’s Version)","Fearless (Taylor's Version)",2,"You take a deep breath, and you walk through the doors It's the mornin' of your very first day You say hi to your friends you ain't seen in a while Try and stay out of everybody's way  It's your freshman year, and you're gonna be here For the next four years in this town Hopin' one of those senior boys will wink at you and say ""You know, I haven't seen you around before""  'Cause when you're 15 and somebody tells you they love you You're gonna believe them And when you're 15, feelin' like there's nothin' to figure out Well, count to ten, take it in This is life before you know who you're gonna be at 15  You sit in class next to a redhead named Abigail And soon enough, you're best friends ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",294419
"69","Foolish One (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",21,"My cards are on the table, yours are in your hand Chances are, tonight, you've already got plans And chances are I will talk myself to sleep again  You give me just enough attention to keep my hopes too high Wishful thoughts forget to mention when something's really not right And I will block out these voices of reason in my head  And the voices say, ""You are not the exception You will never learn your lesson""  Foolish one Stop checking your mailbox for confessions of love That ain't never gonna come You will take the long way, you will take the long way down  You know how to keep me waiting, I know how to act like I'm fine Don't know what to call this situation, but I know I can't call you mine And it's delicate, but I will do my best to seem bulletproof  'Cause when my head is on your shoulder, it starts thinking you'll come around And maybe someday when we're older, this is something we'll laugh about Over coffee every morning while you're watching the news  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",311765
"70","Forever & Always (Taylor’s Version)","Fearless (Taylor's Version)",11,"Once upon a time I believe it was a Tuesday when I caught your eye And we caught onto something I hold onto the night You looked me in the eye and told me you loved me Were you just kidding? 'Cause it seems to me This thing is breaking down, we almost never speak I don't feel welcome anymore Baby, what happened? Please, tell me 'Cause one second it was perfect, now you're halfway out the door  And I stare at the phone, he still hasn't called And then you feel so low you can't feel nothing at all And you flashback to when he said ""forever and always""  Oh-oh-oh, oh, and it rains in your bedroom, everything is wrong It rains when you're here and it rains when you're gone 'Cause I was there when you said ""forever and always""  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",225328
"71","Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)",27,"He says he doesn't believe anything much he hears these days He says, ""Why fall in love? Just so you can watch it go away"" He spends most of his nights wishing it was how it used to be He spends most of his flights getting pulled down by gravity  I call, just checking up on him He's up, 3 a.m., pacing He says, ""It's not just a phase I'm in"" My voice comes out begging  All this time I didn't know You were breaking down I'd fall to pieces on the floor If you weren't around Too young to know it gets better I'll be summer sun for you forever Forever winter if you go, oh-oh, uh-uh-oh  He seems fine most of the time, forcing smiles, and never minds ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",263533
"72","Getaway Car","reputation",9,"No, nothin' good starts in a getaway car  It was the best of times, the worst of crimes I struck a match and blew your mind But I didn't mean it, and you didn't see it The ties were black, the lies were white In shades of gray in candlelight I wanted to leave him, I needed a reason  ""X"" marks the spot where we fell apart He poisoned the well, I was lyin' to myself I knew it from the first Old Fashioned, we were cursed We never had a shotgun shot in the dark (oh!)  You were drivin' the getaway car We were flyin', but we'd never get far Don't pretend it's such a mystery Think about the place where you first met me Ridin' in a getaway car There were sirens in the beat of your heart Should've known I'd be the first to leave Think about the place where you first met me In a getaway car, oh-oh-oh No, they never get far, oh-oh-ah No, nothin' good starts in a getaway car  It was the great escape, the prison break ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",233626
"73","Girl At Home (Taylor's Version)","Red (Taylor's Version)",19,"Don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that  I don't even know her But I feel a responsibility to do what's upstanding and right It's kinda like a code, yeah And you've been getting closer and closer, and crossing so many lines  And it would be a fine proposition If I was a stupid girl But, honey, I am no one's exception This I have previously learned  So don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that, everybody knows that  I see you turn off your phone And now you got me alone, and I say ""Don't look at me, you got a girl at home ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",220520
"74","Glitch","Midnights (The Til Dawn Edition)",18,"We were supposed to be just friends You don't live in my part of town, but maybe I'll see you out some weekend Depending on what kind of mood and situation-ship I'm in And what's in my system  I think there's been a glitch, oh, yeah Five seconds later, I'm fastening myself to you with a stitch, oh, yeah And I'm not even sorry Nights are so starry, blood moonlit It must be counterfeit I think there's been a glitch, oh, yeah  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",148781
"75","gold rush","evermore (deluxe version)",3,"Gleaming, twinkling Eyes like sinking ships on waters So inviting, I almost jump in  But I don't like a gold rush, gold rush I don't like anticipating my face in a red flush I don't like that anyone would die to feel your touch Everybody wants you Everybody wonders what it would be like to love you Walk past, quick brush I don't like slow motion, double vision in rose blush I don't like that falling feels like flying 'til the bone crush Everybody wants you But I don't like a gold rush  What must it be like to grow up that beautiful? With your hair falling into place like dominoes ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",185320
"76","Gorgeous","reputation",8,"Gorgeous  You should take it as a compliment That I got drunk and made fun of the way you talk You should think about the consequence Of your magnetic field being a little too strong  And I got a boyfriend, he's older than us He's in the club doin' I don't know what You're so cool, it makes me hate you so much (I hate you so much)  Whisky on ice, Sunset and Vine You've ruined my life, by not being mine  You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",209680
"77","happiness","evermore (deluxe version)",7,"Honey, when I'm above the trees I see this for what it is But now I'm right down in it All the years I've given are just things we're dividing up Showed you all of my hiding spots I was dancing when the music stopped And in the disbelief, I can't face reinvention I haven't met the new me yet  There'll be happiness after you But there was happiness because of you Both of these things can be true There is happiness  Past the blood and bruise Past the curses and cries Beyond the terror in the nightfall Haunted by the look in my eyes That would've loved you for a lifetime Leave it all behind and there is happiness  Tell me, when did your winning smile begin to look like a smirk? When did all our lessons start to look like weapons pointed at my deepest hurt? ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",315146
"78","Haunted (Taylor's Version)","Speak Now (Taylor's Version)",12,"You and I walk a fragile line I have known it all this time But I never thought I'd live to see it break It's getting dark and it's all so quiet And I can't trust anything now And it's coming over you like it's all a big mistake  Oh, holding my breath Won't lose you again Something's made your eyes go cold  Come on, come on, don't leave me like this I thought I had you figured out Something's gone terribly wrong You're all I wanted Come on, come on, don't leave me like this I thought I had you figured out Can't breathe whenever you're gone Can't turn back now, I'm haunted  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",245413
"79","Hey Stephen (Taylor’s Version)","Fearless (Taylor's Version)",4,"Mhmm-mhmm-mh, mh mh, mh mh Mhmm-mhmm-mh, mh mh Mhmm-mhmm-mh, mh mh, mh mh, mh Mhmm-mhmm-mh, yeah  Hey Stephen, I know looks can be deceiving but I know I saw a light in you And as we walked we were talking and I didn't say half the things I wanted to Of all the girls tossing rocks at your window, I'll be the one waiting there even when it's cold Hey Stephen, boy, you might have me believing I don't always have to be alone  'Cause I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain, so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmh, I can't help myself  Mmh, mmh, mh, ho no Mhmm-mhmm-mh, mh mh  Hey Stephen, I've been holding back this feeling so I've got some things to say to you ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",254254
"80","High Infidelity","Midnights (The Til Dawn Edition)",17,"Lock broken, slur spoken Wound open, game token I didn't know you were keeping count Rain soaking, blind hoping You said I was freeloading I didn't know you were keeping count  High infidelity Put on your records and regret me I bent the truth too far tonight I was dancing around, dancing around it High infidelity Put on your headphones and burn my city Your picket fence is sharp as knives I was dancing around, dancing around it  Do you really want to know where I was April 29th? Do I really have to chart the constellations in his eyes?  Storm coming,good husband Bad omen Dragged my feet right down the aisle ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",231475
"81","Hits Different","Midnights (The Til Dawn Edition)",21,"I washed my hands of us at the club You made a mess of me I pictured you with other girls, in love Then threw up on the street  Like waiting for a bus that never shows You just start walking on They say that if it's right, you know Each bar plays our song, nothin' has ever felt so wrong  ""Oh, my, love is a lie,"" shit my friends say to get me by It hits different, it hits different this time Catastrophic blues, movin' on was always easy for me to do It hits different, it hits different 'cause it's you  'Cause it's you  I used to switch out these Kens, I'd just ghost Rip the Band-Aid off and skip town like an asshole outlaw Freedom felt like summer then, on the coast Now the sun burns my heart and the sand hurts my feelings ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",234466
"82","hoax","folklore (deluxe version)",16,"My only one My smoking gun My eclipsed sun This has broken me down  My twisted knife My sleepless night My winless fight This has frozen my ground  Stood on the cliffside screaming, ""Give me a reason"" Your faithless love's the only hoax I believe in Don't want no other shade of blue but you No other sadness in the world would do  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",220040
"83","Holy Ground (Taylor's Version)","Red (Taylor's Version)",11,"I was reminiscing just the other day While having coffee all alone, and Lord, it took me away Back to a first glance feeling on New York time Back when you fit my poems like a perfect rhyme  Took off faster than a green light, go Yeah, you skip the conversation when you already know I left a note on the door with a joke we'd made And that was the first day  And darling, it was good Never looking down And right there where we stood Was holy ground  Spinning like a girl in a brand-new dress We had this big wide city all to ourselves ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",202960
"84","How You Get The Girl (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",10,"Oh-oh-oh, oh-oh-oh Oh-oh, oh-oh  Stand there like a ghost, shaking from the rain, rain She'll open up the door and say, ""Are you insane-ane?""  Say, ""It's been a long six months""  And you were too afraid to tell her what you want, want  And that's how it works That's how you get the girl And then, you say  I want you for worse or for better I would wait forever and ever Broke your heart, I'll put it back together I would wait forever and ever  And that's how it works That's how you get the girl, girl Oh-oh And that's how it works That's how you get the girl, girl  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",247533
"85","I Almost Do (Taylor's Version)","Red (Taylor's Version)",7,"I bet this time of night, you're still up I bet you're tired from a long, hard week I bet you're sittin' in your chair by the window Looking out at the city, and I bet Sometimes you wonder 'bout me  And I just wanna tell you It takes everything in me not to call you  And I wish I could run to you And I hope you know that Every time I don't, I almost do I almost do  I bet you think I either moved on or hate you 'Cause each time you reach out, there's no reply  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",244586
"86","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)",26,"3 a.m. and I'm still awake, I'll bet you're just fine Fast asleep in your city that's better than mine And the girl in your bed has a fine pedigree And I'll bet your friends tell you she's better than me, huh  Well, I tried to fit in with your upper-crust circles Yeah, they let me sit in back when we were in love Oh, they sit around talkin' 'bout the meaning of life And the book that just saved 'em that I hadn't heard of  But now that we're done and it's over I bet you couldn't believe When you realized I'm harder to forget than I was to leave And I bet you think about me  You grew up in a silver-spoon, gated community Glamorous, shiny, bright Beverly Hills I was raised on a farm, no, it wasn't a mansion Just livin' room dancin' and kitchen table bills  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",285106
"87","I Can See You (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)",19,"I-I-I-I  You brush past me in the hallway And you don't think I-I-I can see ya, do ya? I've been watching you for ages And I spend my time trying not to feel it  But what would you do if I went to touch ya now? What would you do if they never found us out? What would you do if we never made a sound?  'Cause I can see you waiting down the hall from me And I could see you up against the wall with me And what would you do? Baby, if you only knew That I can see you  I-I-I-I  And we kept everything professional But something's changed, it's something I-I like They keep watchful eyes on us ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",273186
"88","I Did Something Bad","reputation",3,"I never trust a narcissist But they love me So I play 'em like a violin And I make it look, oh, so easy  'Cause for every lie I tell them They tell me three This is how the world works Now all he thinks about is me  I can feel the flames on my skin Crimson red paint on my lips If a man talks shit, then I owe him nothing I don't regret it one bit, 'cause he had it comin'  They say I did something bad Then why's it feel so good? They say I did something bad Then why's it feel so good?  Most fun I ever had And I'd do it over and over And over again if I could It just felt so good, good  I never trust a playboy ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",238253
"89","I Forgot That You Existed","Lover",1,"How many days did I spent thinking 'Bout how you did me wrong, wrong, wrong? Lived in the shade you were throwing 'Til all of my sunshine was gone, gone, gone  And I couldn't get away from you In my feelings more than Drake, so yeah Your name on my lips, tongue-tied Free rent, living in my mind  But then something happened one magical night  I forgot that you existed And I thought that it would kill me, but it didn't  And it was so nice So peaceful and quiet I forgot that you existed It isn't love, it isn't hate, it's just indifference I forgot that you... ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",170640
"90","I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)",4,"Once upon a time, a few mistakes ago I was in your sights, you got me alone You found me, you found me, you found me I guess you didn't care, and I guess I liked that And when I fell hard, you took a step back Without me, without me, without me  And he's long gone when he's next to me And I realize the blame is on me  'Cause I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been 'Til you put me down, oh  I knew you were trouble when you walked in So, shame on me now Flew me to places I'd never been Now I'm lying on the cold hard ground  Oh, oh (trouble, trouble, trouble) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",219760
"91","I Know Places (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",12,"I-I-I, I, I-I-I, I I-I-I, I, I-I-I, I I-I-I, I, I-I-I, I, I, I  You stand with your hand on my waistline It's a scene, and we're out here in plain sight I can hear them whisper as we pass by It's a bad sign, bad sign  Somethin' happens when everybody finds out See the vultures circling, dark clouds Love's a fragile little flame, it could burn out It could burn out  'Cause they got the cages, they got the boxes And guns They are the hunters, we are the foxes And we run  Baby, I know places we won't be found, and ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",195700
"92","I Think He Knows","Lover",6,"I think he knows His footprints on the sidewalk Lead to where I can't stop Go there every night I think he knows His hands around a cold glass Make me wanna know that Body like it's mine  He got that boyish look that I like in a man I am an architect, I'm drawing up the plans It's like I'm 17, nobody understands No one understands  He got my heartbeat Skipping down 16th Avenue Got that, ah, I mean Wanna see what's under that attitude, like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows  I think he knows When we get all alone I'll make myself at home ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",173386
