"","track_name","album_name.y","track_number","lyrics_body","duration_ms"
"11","All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios","All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios",1,"I walked through the door with you, the air was cold But something 'bout it felt like home somehow And I left my scarf there at your sister's house And you've still got it in your drawer, even now  Oh, your sweet disposition and my wide-eyed gaze We're singing in the car, getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days  And I know it's long gone and that magic's not here no more And I might be okay, but I'm not fine at all  'Cause there we are again, on that little town street You almost ran the red 'cause you were looking over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter, your cheeks were turning red You used to be a little kid with glasses in a twin-sized bed Your mother's telling stories 'bout you on the tee-ball team You taught me 'bout your past thinking your future was me  And you were tossing me the car keys Fuck the patriarchy Keychain on the ground, we were always skipping town And I was thinking on the drive down, ""Any time now He's gonna say it's love"", you never called it what it was  'Til we were dead and gone and buried Check the pulse and come back swearing it's the same After three months in the grave And then you wondered where it went to as I reached for you But all I felt was shame, and you held my lifeless frame  And I know it's long gone and there was nothing else I could do And I forget about you long enough to forget why I needed to  'Cause there we are again, in the middle of the night We're dancing 'round the kitchen in the refrigerator light ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",598150
"12","All Too Well (Taylor's Version)","Red (Taylor's Version)",5,"I walked through the door with you The air was cold But something 'bout it felt like home somehow And I, left my scarf there at your sister's house And you've still got it in your drawer even now  Oh, your sweet disposition And my wide-eyed gaze We're singing in the car, getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days  And I know it's long gone and that magic's not here no more And I might be okay, but I'm not fine at all  'Cause there we are again on that little town street You almost ran the red 'cause you were looking over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",329160
"13","All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",5,"(Hey, hey, hey) (Hey, hey, hey) (Hey, hey, hey) (Hey, hey, hey)  People like you always want back The love they gave away And people like me wanna believe you When you say you've changed The more I think about it now The less I know All I know is that you drove us Off the road  (Stay) hey, all you had to do was stay Had me in the palm of your hand, then Why'd you have to go and lock me out when I let you in? (Stay) hey, now you say you want it back Now that it's just too late, well, could've been easy All you had to do was (stay)  All you had to do was (stay) All you had to do was (stay) All you had to do was (stay) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",193289
"14","Anti-Hero","Midnights (The Til Dawn Edition)",3,"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift All of the people I've ghosted stand there in the room  I should not be left to my own devices They come with prices and vices I end up in crises Tale as old as time I wake up screaming from dreaming One day I'll watch as you're leaving 'Cause you got tired of my scheming For the last time  It's me Hi! I'm the problem, it's me At teatime Everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero  Sometimes I feel like everybody is a sexy baby ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",200690
"15","Anti-Hero (feat. Bleachers)","Anti-Hero (Remixes)",1,"(I'm the problem)  I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift All of the people I've ghosted stand there in the room  I should not be left to my own devices They come with prices and vices I end up in crisis (tale as old as time) I wake up screaming from dreaming One day I'll watch as you're leaving 'Cause you got tired of my scheming (for the last time)  It's me, hi I'm the problem, it's me At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero (Always rooting for the anti-hero)  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",228397
"16","august","folklore (deluxe version)",8,"Salt air, and the rust on your door I never needed anything more Whispers of ""Are you sure?"" ""Never have I ever before""  But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine And I can see us twisted in bedsheets August sipped away like a bottle of wine 'Cause you were never mine  Your back beneath the sun Wishin' I could write my name on it Will you call when you're back at school? I remember thinkin' I had you  But I can see us lost in the memory August slipped away into a moment in time 'Cause it was never mine ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",261920
"17","Babe (Taylor's Version) (From The Vault)","Red (Taylor's Version)",24,"What about your promises, promises?  What about your promises, promises, promises? No  What a shame Didn't want to be the one that got away, yeah Big mistake, you broke the sweetest promise That you never should have made  I'm here on the kitchen floor You call, but I won't hear it You said no one else, how could you do this, babe?  (What about your promises, promises?) You really blew this, babe We ain't getting through this one, babe (yeah, yeah, yeah) This is the last time I'll ever call you, babe (This is the last time, this is the last time) This is the last time I'll ever call you, babe (What about your promises, promises, promises? No) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",224240
"18","Back To December (Taylor's Version)","Speak Now (Taylor's Version)",3,"I'm so glad you made time to see me How's life? Tell me, how's your family? I haven't seen them in a while You've been good, busier than ever We small talk, work and the weather Your guard is up and I know why  Because the last time you saw me Is still burned in the back of your mind You gave me roses and I left them there to die  So this is me swallowin' my pride Standin' in front of you, sayin' I'm sorry for that night And I go back to December all the time It turns out freedom ain't nothin' but missin' you Wishin' I'd realized what I had when you were mine I'd go back to December, turn around and make it alright I go back to December all the time  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",294189
"19","Bad Blood (feat. Kendrick Lamar) (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",22,"'Cause, baby, now we got bad blood You know it used to be mad love (uh) So take a look what you've done (uh) 'Cause, baby, now we got bad blood (uh), hey (hey)  I can't take it back, look where I'm at (uh) We was OG like D.O.C., remember that? (Remember that?) My TLC was quite OD, ID my facts (ID my) Now POV of you and me, similar Iraq I don't hate you, but I hate to critique, overrate you These beats of a dark heart, use basslines to replace you Take time and erase you, love don't hear no more, no, I don't fear no more Better yet, respect ain't quite sincere no more, ah  Oh, it's so sad to think about the good times You and I  'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey Now we got problems And I don't think we can solve 'em (uh) You made a really deep cut (uh) ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",199773
"20","Bad Blood (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",8,"Cause baby, now we got bad blood You know it used to be mad love So, take a look what you've done Cause baby, now we got bad blood Now we got problems And I don't think we can solve them You made a really deep cut And baby, now we got bad blood  Did you have to do this? I was thinking that you could be trusted Did you have to ruin what was shiny? Now it's all rusted Did you have to hit me Where I'm weak? Baby, I couldn't breathe and Rub it in so deep Salt in the wound Like you're laughing right at me Oh, it's so sad to Think about the good times You and I ...  Cause baby, now we got bad blood You know it used to be mad love So, take a look what you've done Cause baby, now we got bad blood Now we got problems ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",211103
"21","Begin Again (Taylor's Version)","Red (Taylor's Version)",16,"Took a deep breath in the mirror He didn't like it when I wore high heels But I do  Turned the lock and put my headphones on He always said he didn't get this song But I do, I do  I walked in expecting you'd be late But you got here early and you stand and wave I walk to you  You pull my chair out and help me in And you don't know how nice that is But I do  And you throw your head back laughing like a little kid I think it's strange that you think I'm funny, 'cause he never did ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",238866
"22","Bejeweled","Midnights (The Til Dawn Edition)",9,"Baby love, I think I've been a little too kind Didn't notice you walking all over my peace of mind In the shoes I gave you as a present Putting someone first only works When you're in their top 5 And by the way I'm going out tonight  Best believe I'm still bejeweled When I walk in the room I can still make the whole place shimmer And when I meet the band They ask, ""Do you have a man?"" I could still say, ""I don't remember"" Familiarity breeds contempt Don't put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real I polish up real nice  Nice!  Baby boy, I think I've been too good of a girl (Too good of a girl) Did all the extra credit then got graded on a curve I think it's time to teach some lessons ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",194165
"23","Better Man (Taylor's Version) (From The Vault)","Red (Taylor's Version)",22,"I know I'm probably better off on my own Than lovin' a man who didn't know What he had when he had it And I see the permanent damage you did to me Never again, I just wish I could forget when it was magic  I wish it wasn't 4 a.m., standing in the mirror Saying to myself, you know you had to do it I know the bravest thing I ever did was run  Sometimes, in the middle of the night, I can feel you again But I just miss you, and I just wish you were a better man But I know why we had to say goodbye like the back of my hand But I just miss you, and I just wish you were a better man A better man  I know I'm probably better off all alone Than needing a man who could change his mind at any given minute And it was always on your terms I waited on every careless word Hoping they might turn sweet again ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",297013
"24","Better Than Revenge (Taylor's Version)","Speak Now (Taylor's Version)",10,"Now go stand in the corner and think about what you did  Ha Ha-ha, time for a little revenge  The story starts when it was hot, and it was summer, and I had it all, I had him right there where I wanted him She came along, got him alone, and let's hear the applause She took him faster than you could say ""sabotage"" I never saw it coming, wouldn't have suspected it I underestimated just who I was dealing with (oh) She had to know the pain was beating on me like a drum She underestimated just who she was stealing from  She's not a saint, and she's not what you think She's an actress, whoa He was a moth to the flame She was holding the matches, whoa Soon she's gonna find stealing other people's toys On the playground won't make you many friends She should keep in mind, she should keep in mind There is nothing I do better than revenge (revenge), ha ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",220306
